# three_species_cycle_noise_sweep_v5 — ONE cyclic community, FIVE environmental
# noise levels (the researcher's own buffeting knob; level 3 = their baseline run).
# columns: level (1..5, ordered low->high noise), noise_rel (relative buffeting
#          amplitude, normalized to the baseline level 3 = 1.0x), tau (community
#          clock — a lag for the two-point columns, elapsed time for the winding
#          columns), C (normalized rotation-plane autocorr), chi (integrated
#          response), Cxy / Cyx (the two directed cross-correlations between the
#          two community-rotation axes), phiMean / phiVar (mean and variance of
#          the cumulative net turnover angle up to elapsed tau, across sub-windows).
# All columns dimensionless (angle in radians). Five operating points (a sweep).
# Generated by the community's own linear NESS propagator + per-level sim — not via conform.
level,noise_rel,tau,C,chi,Cxy,Cyx,phiMean,phiVar
3,1.0000,11.949737,0.000006,0.401908,0.000001,-0.000001,12.927897,575.804981
3,1.0000,12.253815,0.000005,0.401910,-0.000001,0.000001,13.094981,588.557377
3,1.0000,12.557893,0.000003,0.401911,-0.000002,0.000002,13.418862,593.554076
3,1.0000,12.861971,0.000002,0.401912,-0.000002,0.000002,13.753362,595.637364
3,1.0000,13.166050,0.000001,0.401912,-0.000002,0.000002,14.099543,602.671140
3,1.0000,13.470128,0.000000,0.401912,-0.000001,0.000001,14.433672,606.247826
3,1.0000,13.774206,-0.000000,0.401912,-0.000001,0.000001,14.725742,606.385262
3,1.0000,14.078284,-0.000000,0.401912,-0.000001,0.000001,15.061723,610.033233
3,1.0000,14.382362,-0.000000,0.401912,-0.000000,0.000000,15.330477,616.987716
3,1.0000,14.686440,-0.000000,0.401912,-0.000000,0.000000,15.672676,618.551524
3,1.0000,14.990518,-0.000000,0.401912,-0.000000,0.000000,15.947440,621.506678
3,1.0000,15.294596,-0.000000,0.401912,0.000000,-0.000000,16.306087,627.830896
3,1.0000,15.598675,-0.000000,0.401912,0.000000,-0.000000,16.726958,630.038534
3,1.0000,15.902753,-0.000000,0.401912,0.000000,-0.000000,16.960873,636.992354
3,1.0000,16.206831,-0.000000,0.401912,0.000000,-0.000000,17.262369,639.318127
3,1.0000,16.510909,-0.000000,0.401912,0.000000,-0.000000,17.524302,640.095227
3,1.0000,16.814987,0.000000,0.401912,0.000000,-0.000000,17.918091,644.822306
3,1.0000,17.119065,0.000000,0.401912,0.000000,-0.000000,18.262341,647.462148
3,1.0000,17.423143,0.000000,0.401912,0.000000,-0.000000,18.590966,653.033006
3,1.0000,17.727221,0.000000,0.401912,0.000000,-0.000000,18.870300,661.638645
3,1.0000,18.031300,0.000000,0.401912,0.000000,-0.000000,19.206396,663.758823
3,1.0000,18.335378,0.000000,0.401912,-0.000000,0.000000,19.388847,695.516737
3,1.0000,18.639456,0.000000,0.401912,-0.000000,0.000000,19.644192,697.192281
3,1.0000,18.943534,0.000000,0.401912,-0.000000,0.000000,19.959254,700.808641
3,1.0000,19.247612,0.000000,0.401912,-0.000000,0.000000,20.318724,702.139188
3,1.0000,19.551690,0.000000,0.401912,-0.000000,0.000000,20.658493,705.842549
3,1.0000,19.855768,-0.000000,0.401912,-0.000000,0.000000,20.943189,709.566999
3,1.0000,20.159846,-0.000000,0.401912,-0.000000,0.000000,21.257438,712.349118
3,1.0000,20.463925,-0.000000,0.401912,-0.000000,0.000000,21.566891,714.174741
3,1.0000,20.768003,-0.000000,0.401912,-0.000000,0.000000,21.860568,715.318031
3,1.0000,21.072081,-0.000000,0.401912,-0.000000,0.000000,22.145729,721.165879
3,1.0000,21.376159,-0.000000,0.401912,0.000000,-0.000000,22.490298,727.156730
3,1.0000,21.680237,-0.000000,0.401912,0.000000,-0.000000,22.835135,728.589673
3,1.0000,21.984315,-0.000000,0.401912,0.000000,-0.000000,23.100846,732.453865
3,1.0000,22.288393,-0.000000,0.401912,0.000000,-0.000000,23.452569,735.974751
3,1.0000,22.592471,-0.000000,0.401912,0.000000,-0.000000,23.832072,742.999498
3,1.0000,22.896550,0.000000,0.401912,0.000000,-0.000000,24.184170,740.833909
3,1.0000,23.200628,0.000000,0.401912,0.000000,-0.000000,24.467692,751.592524
3,1.0000,23.504706,0.000000,0.401912,0.000000,-0.000000,24.761735,750.729176
3,1.0000,23.808784,0.000000,0.401912,0.000000,-0.000000,25.136196,756.606786
3,1.0000,24.112862,0.000000,0.401912,0.000000,-0.000000,25.430999,758.751599
3,1.0000,24.416940,0.000000,0.401912,-0.000000,0.000000,25.743462,760.148981
3,1.0000,24.721018,0.000000,0.401912,-0.000000,0.000000,26.070753,764.299028
3,1.0000,25.025097,0.000000,0.401912,-0.000000,0.000000,26.400820,766.733300
3,1.0000,25.329175,0.000000,0.401912,-0.000000,0.000000,26.713778,769.462963
3,1.0000,25.633253,0.000000,0.401912,-0.000000,0.000000,27.044359,774.260160
3,1.0000,25.937331,-0.000000,0.401912,-0.000000,0.000000,27.494367,781.486566
3,1.0000,26.241409,-0.000000,0.401912,-0.000000,0.000000,27.768818,785.774111
3,1.0000,26.545487,-0.000000,0.401912,-0.000000,0.000000,28.069937,790.350159
3,1.0000,26.849565,-0.000000,0.401912,-0.000000,0.000000,28.391601,793.877631
3,1.0000,27.153643,-0.000000,0.401912,-0.000000,0.000000,28.722983,795.245015
3,1.0000,27.457722,-0.000000,0.401912,0.000000,-0.000000,29.096038,801.778820
3,1.0000,27.761800,-0.000000,0.401912,0.000000,-0.000000,29.460316,805.448235
3,1.0000,28.065878,-0.000000,0.401912,0.000000,-0.000000,29.746744,807.302618
3,1.0000,28.369956,-0.000000,0.401912,0.000000,-0.000000,29.997821,809.887441
3,1.0000,28.674034,-0.000000,0.401912,0.000000,-0.000000,30.284409,815.738601
3,1.0000,28.978112,0.000000,0.401912,0.000000,-0.000000,30.670699,818.801300
3,1.0000,29.282190,0.000000,0.401912,0.000000,-0.000000,30.995146,821.532051
3,1.0000,29.586268,0.000000,0.401912,0.000000,-0.000000,31.338852,827.306580
3,1.0000,29.890347,0.000000,0.401912,0.000000,-0.000000,31.668134,829.305594
3,1.0000,30.194425,0.000000,0.401912,0.000000,-0.000000,31.932651,833.495837
3,1.0000,30.498503,0.000000,0.401912,-0.000000,0.000000,32.239806,838.072805
3,1.0000,30.802581,0.000000,0.401912,-0.000000,0.000000,32.524102,844.706208
3,1.0000,31.106659,0.000000,0.401912,-0.000000,0.000000,32.849395,850.653077
3,1.0000,31.410737,0.000000,0.401912,-0.000000,0.000000,33.153010,851.363676
3,1.0000,31.714815,0.000000,0.401912,-0.000000,0.000000,33.454497,854.219060
3,1.0000,32.018893,-0.000000,0.401912,-0.000000,0.000000,33.769033,859.496728
3,1.0000,32.322972,-0.000000,0.401912,-0.000000,0.000000,34.095174,862.669899
3,1.0000,32.627050,-0.000000,0.401912,-0.000000,0.000000,34.411472,864.975613
3,1.0000,32.931128,-0.000000,0.401912,-0.000000,0.000000,34.738633,873.375240
3,1.0000,33.235206,-0.000000,0.401912,-0.000000,0.000000,34.998673,884.267703
3,1.0000,33.539284,-0.000000,0.401912,0.000000,-0.000000,35.310296,885.133995
3,1.0000,33.843362,-0.000000,0.401912,0.000000,-0.000000,35.633400,885.852181
3,1.0000,34.147440,-0.000000,0.401912,0.000000,-0.000000,35.979972,889.727594
3,1.0000,34.451519,-0.000000,0.401912,0.000000,-0.000000,36.336706,894.062680
3,1.0000,34.755597,-0.000000,0.401912,0.000000,-0.000000,36.870657,961.063473
3,1.0000,35.059675,0.000000,0.401912,0.000000,-0.000000,37.233191,962.068919
3,1.0000,35.363753,0.000000,0.401912,0.000000,-0.000000,37.448764,972.718609
3,1.0000,35.667831,0.000000,0.401912,0.000000,-0.000000,37.821215,972.978793
3,1.0000,35.971909,0.000000,0.401912,0.000000,-0.000000,38.147013,979.027282
3,1.0000,36.275987,0.000000,0.401912,-0.000000,0.000000,38.525350,975.689777
4,2.0000,0.090690,0.909248,0.000000,-0.085949,0.085949,0.074713,0.734450
4,2.0000,0.394768,0.617921,0.232189,-0.268755,0.268755,0.369915,3.596838
4,2.0000,0.698846,0.371706,0.382651,-0.330153,0.330153,0.671518,6.561417
4,2.0000,1.002924,0.184966,0.467287,-0.316755,0.316755,1.047698,9.267704
4,2.0000,1.307002,0.057082,0.504088,-0.264542,0.264542,1.333382,14.781903
4,2.0000,1.611081,-0.020627,0.509631,-0.198603,0.198603,1.619247,18.472558
4,2.0000,1.915159,-0.060003,0.497372,-0.134545,0.134545,1.991942,21.443810
4,2.0000,2.219237,-0.072928,0.477161,-0.080594,0.080594,2.332258,24.729065
4,2.0000,2.523315,-0.069622,0.455488,-0.039797,0.039797,2.582941,29.544471
4,2.0000,2.827393,-0.057949,0.436092,-0.011945,0.011945,2.913545,36.083380
4,2.0000,3.131471,-0.043376,0.420687,0.004911,-0.004911,3.233677,39.191180
4,2.0000,3.435549,-0.029293,0.409638,0.013389,-0.013389,3.584632,42.082442
4,2.0000,3.739628,-0.017472,0.402528,0.016106,-0.016106,3.916926,45.035036
4,2.0000,4.043706,-0.008560,0.398571,0.015301,-0.015301,4.164827,49.685520
4,2.0000,4.347784,-0.002494,0.396890,0.012693,-0.012693,4.498872,51.708443
4,2.0000,4.651862,0.001161,0.396687,0.009473,-0.009473,4.789640,55.333968
4,2.0000,4.955940,0.002986,0.397318,0.006377,-0.006377,5.145309,58.486292
4,2.0000,5.260018,0.003556,0.398313,0.003787,-0.003787,5.539923,71.843799
4,2.0000,5.564096,0.003362,0.399364,0.001840,-0.001840,5.585160,232.197819
4,2.0000,5.868174,0.002780,0.400298,0.000520,-0.000520,6.001959,234.736419
4,2.0000,6.172253,0.002069,0.401035,-0.000273,0.000273,6.264289,241.330822
4,2.0000,6.476331,0.001388,0.401561,-0.000666,0.000666,6.561694,246.070874
4,2.0000,6.780409,0.000821,0.401897,-0.000785,0.000785,6.870208,247.936373
4,2.0000,7.084487,0.000396,0.402082,-0.000739,0.000739,7.144281,250.189883
4,2.0000,7.388565,0.000108,0.402158,-0.000609,0.000609,7.483912,253.896722
4,2.0000,7.692643,-0.000064,0.402165,-0.000452,0.000452,7.810319,256.648682
4,2.0000,7.996721,-0.000148,0.402133,-0.000302,0.000302,8.096203,258.484842
4,2.0000,8.300799,-0.000173,0.402084,-0.000178,0.000178,8.371099,262.449291
4,2.0000,8.604878,-0.000162,0.402033,-0.000085,0.000085,8.695322,266.361327
4,2.0000,8.908956,-0.000133,0.401988,-0.000022,0.000022,9.009473,269.698139
4,2.0000,9.213034,-0.000099,0.401953,0.000015,-0.000015,9.274516,274.613378
4,2.0000,9.517112,-0.000066,0.401928,0.000033,-0.000033,9.603503,281.112653
4,2.0000,9.821190,-0.000039,0.401912,0.000038,-0.000038,9.918184,283.627507
4,2.0000,10.125268,-0.000018,0.401903,0.000036,-0.000036,10.208350,288.820059
4,2.0000,10.429346,-0.000005,0.401900,0.000029,-0.000029,10.529096,292.591902
4,2.0000,10.733424,0.000003,0.401899,0.000022,-0.000022,10.809319,296.967849
4,2.0000,11.037503,0.000007,0.401901,0.000014,-0.000014,11.079193,303.105408
4,2.0000,11.341581,0.000008,0.401904,0.000008,-0.000008,11.434054,306.374677
4,2.0000,11.645659,0.000008,0.401906,0.000004,-0.000004,11.727576,311.263279
4,2.0000,11.949737,0.000006,0.401908,0.000001,-0.000001,12.038900,315.695337
4,2.0000,12.253815,0.000005,0.401910,-0.000001,0.000001,12.347715,318.336419
4,2.0000,12.557893,0.000003,0.401911,-0.000002,0.000002,12.618319,319.116740
4,2.0000,12.861971,0.000002,0.401912,-0.000002,0.000002,13.029343,322.541346
4,2.0000,13.166050,0.000001,0.401912,-0.000002,0.000002,13.310129,325.283879
4,2.0000,13.470128,0.000000,0.401912,-0.000001,0.000001,13.697271,331.476696
4,2.0000,13.774206,-0.000000,0.401912,-0.000001,0.000001,14.006686,337.812821
4,2.0000,14.078284,-0.000000,0.401912,-0.000001,0.000001,14.387956,350.490674
4,2.0000,14.382362,-0.000000,0.401912,-0.000000,0.000000,14.666724,352.477155
4,2.0000,14.686440,-0.000000,0.401912,-0.000000,0.000000,14.900712,356.412106
4,2.0000,14.990518,-0.000000,0.401912,-0.000000,0.000000,15.218280,359.120627
4,2.0000,15.294596,-0.000000,0.401912,0.000000,-0.000000,15.478117,364.163608
4,2.0000,15.598675,-0.000000,0.401912,0.000000,-0.000000,15.802090,372.203473
4,2.0000,15.902753,-0.000000,0.401912,0.000000,-0.000000,16.110330,375.259870
4,2.0000,16.206831,-0.000000,0.401912,0.000000,-0.000000,16.330632,378.491846
4,2.0000,16.510909,-0.000000,0.401912,0.000000,-0.000000,16.663988,380.084255
4,2.0000,16.814987,0.000000,0.401912,0.000000,-0.000000,17.018459,381.153545
4,2.0000,17.119065,0.000000,0.401912,0.000000,-0.000000,17.303909,384.134109
4,2.0000,17.423143,0.000000,0.401912,0.000000,-0.000000,17.606921,385.822938
4,2.0000,17.727221,0.000000,0.401912,0.000000,-0.000000,18.003953,388.431234
4,2.0000,18.031300,0.000000,0.401912,0.000000,-0.000000,18.290229,392.314299
4,2.0000,18.335378,0.000000,0.401912,-0.000000,0.000000,18.549288,399.728499
4,2.0000,18.639456,0.000000,0.401912,-0.000000,0.000000,18.833629,407.087216
4,2.0000,18.943534,0.000000,0.401912,-0.000000,0.000000,19.146652,408.997084
4,2.0000,19.247612,0.000000,0.401912,-0.000000,0.000000,19.412181,410.692662
4,2.0000,19.551690,0.000000,0.401912,-0.000000,0.000000,19.746259,419.995699
4,2.0000,19.855768,-0.000000,0.401912,-0.000000,0.000000,20.089463,429.314006
4,2.0000,20.159846,-0.000000,0.401912,-0.000000,0.000000,20.401081,432.214302
4,2.0000,20.463925,-0.000000,0.401912,-0.000000,0.000000,20.713826,435.998371
4,2.0000,20.768003,-0.000000,0.401912,-0.000000,0.000000,20.964376,439.665002
4,2.0000,21.072081,-0.000000,0.401912,-0.000000,0.000000,21.329095,438.399536
4,2.0000,21.376159,-0.000000,0.401912,0.000000,-0.000000,21.628461,443.872397
4,2.0000,21.680237,-0.000000,0.401912,0.000000,-0.000000,22.059391,446.962111
4,2.0000,21.984315,-0.000000,0.401912,0.000000,-0.000000,22.338868,447.665060
4,2.0000,22.288393,-0.000000,0.401912,0.000000,-0.000000,22.730040,456.159448
4,2.0000,22.592471,-0.000000,0.401912,0.000000,-0.000000,23.023144,456.281758
4,2.0000,22.896550,0.000000,0.401912,0.000000,-0.000000,23.396822,459.084426
4,2.0000,23.200628,0.000000,0.401912,0.000000,-0.000000,22.853324,1958.767743
4,2.0000,23.504706,0.000000,0.401912,0.000000,-0.000000,23.163216,1965.671254
4,2.0000,23.808784,0.000000,0.401912,0.000000,-0.000000,23.465705,1975.408376
4,2.0000,24.112862,0.000000,0.401912,0.000000,-0.000000,23.838864,1975.873743
4,2.0000,24.416940,0.000000,0.401912,-0.000000,0.000000,24.127446,1976.645943
4,2.0000,24.721018,0.000000,0.401912,-0.000000,0.000000,24.467748,1977.476124
4,2.0000,25.025097,0.000000,0.401912,-0.000000,0.000000,24.772030,1974.813985
4,2.0000,25.329175,0.000000,0.401912,-0.000000,0.000000,25.066602,1978.891214
4,2.0000,25.633253,0.000000,0.401912,-0.000000,0.000000,25.451608,1983.222451
4,2.0000,25.937331,-0.000000,0.401912,-0.000000,0.000000,25.813349,1984.730948
4,2.0000,26.241409,-0.000000,0.401912,-0.000000,0.000000,26.100512,1983.745648
4,2.0000,26.545487,-0.000000,0.401912,-0.000000,0.000000,26.395401,1989.975540
4,2.0000,26.849565,-0.000000,0.401912,-0.000000,0.000000,26.756090,1992.872508
4,2.0000,27.153643,-0.000000,0.401912,-0.000000,0.000000,27.058078,1996.369689
4,2.0000,27.457722,-0.000000,0.401912,0.000000,-0.000000,27.362163,1996.283118
4,2.0000,27.761800,-0.000000,0.401912,0.000000,-0.000000,27.677485,1997.946612
4,2.0000,28.065878,-0.000000,0.401912,0.000000,-0.000000,28.046866,2002.854315
4,2.0000,28.369956,-0.000000,0.401912,0.000000,-0.000000,28.402692,2009.340908
4,2.0000,28.674034,-0.000000,0.401912,0.000000,-0.000000,28.708621,2012.161932
4,2.0000,28.978112,0.000000,0.401912,0.000000,-0.000000,29.004302,2012.378869
4,2.0000,29.282190,0.000000,0.401912,0.000000,-0.000000,29.299594,2013.989609
4,2.0000,29.586268,0.000000,0.401912,0.000000,-0.000000,29.642272,2020.239621
4,2.0000,29.890347,0.000000,0.401912,0.000000,-0.000000,29.938811,2033.113819
4,2.0000,30.194425,0.000000,0.401912,0.000000,-0.000000,30.257091,2040.341091
4,2.0000,30.498503,0.000000,0.401912,-0.000000,0.000000,30.579134,2041.999539
4,2.0000,30.802581,0.000000,0.401912,-0.000000,0.000000,30.973671,2046.163365
4,2.0000,31.106659,0.000000,0.401912,-0.000000,0.000000,31.215854,2051.154391
4,2.0000,31.410737,0.000000,0.401912,-0.000000,0.000000,31.499605,2060.380158
4,2.0000,31.714815,0.000000,0.401912,-0.000000,0.000000,31.881424,2072.044360
4,2.0000,32.018893,-0.000000,0.401912,-0.000000,0.000000,32.181940,2073.309155
4,2.0000,32.322972,-0.000000,0.401912,-0.000000,0.000000,32.481272,2078.522184
4,2.0000,32.627050,-0.000000,0.401912,-0.000000,0.000000,32.786105,2085.458292
4,2.0000,32.931128,-0.000000,0.401912,-0.000000,0.000000,33.077507,2093.600185
4,2.0000,33.235206,-0.000000,0.401912,-0.000000,0.000000,33.461644,2100.057004
4,2.0000,33.539284,-0.000000,0.401912,0.000000,-0.000000,33.739886,2102.830938
4,2.0000,33.843362,-0.000000,0.401912,0.000000,-0.000000,34.058527,2104.559431
4,2.0000,34.147440,-0.000000,0.401912,0.000000,-0.000000,34.426018,2113.831380
4,2.0000,34.451519,-0.000000,0.401912,0.000000,-0.000000,34.760291,2114.419097
4,2.0000,34.755597,-0.000000,0.401912,0.000000,-0.000000,35.186697,2114.291779
4,2.0000,35.059675,0.000000,0.401912,0.000000,-0.000000,35.550765,2123.015739
4,2.0000,35.363753,0.000000,0.401912,0.000000,-0.000000,35.797183,2127.655862
4,2.0000,35.667831,0.000000,0.401912,0.000000,-0.000000,36.125873,2127.496388
4,2.0000,35.971909,0.000000,0.401912,0.000000,-0.000000,36.469181,2134.200748
4,2.0000,36.275987,0.000000,0.401912,-0.000000,0.000000,36.686645,2170.327354
5,4.0000,0.090690,0.909248,0.000000,-0.085949,0.085949,0.143911,0.808886
5,4.0000,0.394768,0.617921,0.232189,-0.268755,0.268755,0.412536,6.993586
5,4.0000,0.698846,0.371706,0.382651,-0.330153,0.330153,0.731997,10.637128
5,4.0000,1.002924,0.184966,0.467287,-0.316755,0.316755,1.073560,13.721757
5,4.0000,1.307002,0.057082,0.504088,-0.264542,0.264542,1.361999,19.005026
5,4.0000,1.611081,-0.020627,0.509631,-0.198603,0.198603,1.620187,22.793785
5,4.0000,1.915159,-0.060003,0.497372,-0.134545,0.134545,1.919047,26.566166
5,4.0000,2.219237,-0.072928,0.477161,-0.080594,0.080594,2.320697,32.748511
5,4.0000,2.523315,-0.069622,0.455488,-0.039797,0.039797,2.573986,34.795011
5,4.0000,2.827393,-0.057949,0.436092,-0.011945,0.011945,2.862415,38.523054
5,4.0000,3.131471,-0.043376,0.420687,0.004911,-0.004911,3.146864,42.803694
5,4.0000,3.435549,-0.029293,0.409638,0.013389,-0.013389,3.450746,47.222543
5,4.0000,3.739628,-0.017472,0.402528,0.016106,-0.016106,3.760234,50.365586
5,4.0000,4.043706,-0.008560,0.398571,0.015301,-0.015301,4.108761,52.460078
5,4.0000,4.347784,-0.002494,0.396890,0.012693,-0.012693,4.439398,54.531306
5,4.0000,4.651862,0.001161,0.396687,0.009473,-0.009473,4.793000,63.877143
5,4.0000,4.955940,0.002986,0.397318,0.006377,-0.006377,5.121720,70.146173
5,4.0000,5.260018,0.003556,0.398313,0.003787,-0.003787,5.433403,73.078685
5,4.0000,5.564096,0.003362,0.399364,0.001840,-0.001840,5.781453,76.187157
5,4.0000,5.868174,0.002780,0.400298,0.000520,-0.000520,6.139781,79.146499
5,4.0000,6.172253,0.002069,0.401035,-0.000273,0.000273,6.421903,83.466778
5,4.0000,6.476331,0.001388,0.401561,-0.000666,0.000666,6.768427,86.341482
5,4.0000,6.780409,0.000821,0.401897,-0.000785,0.000785,7.011090,88.308910
5,4.0000,7.084487,0.000396,0.402082,-0.000739,0.000739,7.299807,93.606767
5,4.0000,7.388565,0.000108,0.402158,-0.000609,0.000609,7.646413,101.928595
5,4.0000,7.692643,-0.000064,0.402165,-0.000452,0.000452,7.937372,104.190676
5,4.0000,7.996721,-0.000148,0.402133,-0.000302,0.000302,8.233347,110.514648
5,4.0000,8.300799,-0.000173,0.402084,-0.000178,0.000178,8.536297,113.984132
5,4.0000,8.604878,-0.000162,0.402033,-0.000085,0.000085,8.858542,118.814068
5,4.0000,8.908956,-0.000133,0.401988,-0.000022,0.000022,9.168635,122.768772
5,4.0000,9.213034,-0.000099,0.401953,0.000015,-0.000015,9.485480,126.742147
5,4.0000,9.517112,-0.000066,0.401928,0.000033,-0.000033,9.822373,131.335803
5,4.0000,9.821190,-0.000039,0.401912,0.000038,-0.000038,10.128101,137.704730
5,4.0000,10.125268,-0.000018,0.401903,0.000036,-0.000036,10.420825,142.643246
5,4.0000,10.429346,-0.000005,0.401900,0.000029,-0.000029,10.739381,145.244855
5,4.0000,10.733424,0.000003,0.401899,0.000022,-0.000022,11.063504,147.739801
5,4.0000,11.037503,0.000007,0.401901,0.000014,-0.000014,11.380149,150.920826
5,4.0000,11.341581,0.000008,0.401904,0.000008,-0.000008,11.765747,158.203661
5,4.0000,11.645659,0.000008,0.401906,0.000004,-0.000004,12.049867,168.837287
5,4.0000,11.949737,0.000006,0.401908,0.000001,-0.000001,12.350301,172.508523
5,4.0000,12.253815,0.000005,0.401910,-0.000001,0.000001,12.662107,174.896335
5,4.0000,12.557893,0.000003,0.401911,-0.000002,0.000002,13.038305,178.266777
5,4.0000,12.861971,0.000002,0.401912,-0.000002,0.000002,13.342664,182.020581
5,4.0000,13.166050,0.000001,0.401912,-0.000002,0.000002,13.614389,182.310978
5,4.0000,13.470128,0.000000,0.401912,-0.000001,0.000001,13.958504,187.466203
5,4.0000,13.774206,-0.000000,0.401912,-0.000001,0.000001,14.228201,188.121707
5,4.0000,14.078284,-0.000000,0.401912,-0.000001,0.000001,14.677734,192.144121
5,4.0000,14.382362,-0.000000,0.401912,-0.000000,0.000000,15.071241,199.289349
5,4.0000,14.686440,-0.000000,0.401912,-0.000000,0.000000,15.379549,204.890616
5,4.0000,14.990518,-0.000000,0.401912,-0.000000,0.000000,15.679519,212.304054
5,4.0000,15.294596,-0.000000,0.401912,0.000000,-0.000000,15.974485,215.370890
5,4.0000,15.598675,-0.000000,0.401912,0.000000,-0.000000,16.236762,219.144713
5,4.0000,15.902753,-0.000000,0.401912,0.000000,-0.000000,16.533132,221.628339
5,4.0000,16.206831,-0.000000,0.401912,0.000000,-0.000000,16.849971,224.704194
5,4.0000,16.510909,-0.000000,0.401912,0.000000,-0.000000,17.175271,228.066085
5,4.0000,16.814987,0.000000,0.401912,0.000000,-0.000000,17.424536,231.570904
5,4.0000,17.119065,0.000000,0.401912,0.000000,-0.000000,17.819194,234.420850
5,4.0000,17.423143,0.000000,0.401912,0.000000,-0.000000,18.156050,243.178679
5,4.0000,17.727221,0.000000,0.401912,0.000000,-0.000000,18.451529,245.339125
5,4.0000,18.031300,0.000000,0.401912,0.000000,-0.000000,18.728384,247.214202
5,4.0000,18.335378,0.000000,0.401912,-0.000000,0.000000,19.084712,249.246559
5,4.0000,18.639456,0.000000,0.401912,-0.000000,0.000000,19.427008,253.428442
5,4.0000,18.943534,0.000000,0.401912,-0.000000,0.000000,19.707149,255.889583
5,4.0000,19.247612,0.000000,0.401912,-0.000000,0.000000,19.972473,267.685546
5,4.0000,19.551690,0.000000,0.401912,-0.000000,0.000000,20.274762,274.874155
5,4.0000,19.855768,-0.000000,0.401912,-0.000000,0.000000,20.522110,281.918839
5,4.0000,20.159846,-0.000000,0.401912,-0.000000,0.000000,20.726941,288.006051
5,4.0000,20.463925,-0.000000,0.401912,-0.000000,0.000000,21.183108,293.067865
5,4.0000,20.768003,-0.000000,0.401912,-0.000000,0.000000,21.622132,304.831117
5,4.0000,21.072081,-0.000000,0.401912,-0.000000,0.000000,21.903160,310.275790
5,4.0000,21.376159,-0.000000,0.401912,0.000000,-0.000000,22.260128,315.145345
5,4.0000,21.680237,-0.000000,0.401912,0.000000,-0.000000,22.561128,317.615054
5,4.0000,21.984315,-0.000000,0.401912,0.000000,-0.000000,22.806715,331.427069
5,4.0000,22.288393,-0.000000,0.401912,0.000000,-0.000000,23.110587,332.845989
5,4.0000,22.592471,-0.000000,0.401912,0.000000,-0.000000,23.406346,336.219304
5,4.0000,22.896550,0.000000,0.401912,0.000000,-0.000000,23.670686,340.575526
5,4.0000,23.200628,0.000000,0.401912,0.000000,-0.000000,23.946800,343.911506
5,4.0000,23.504706,0.000000,0.401912,0.000000,-0.000000,24.322790,352.793560
5,4.0000,23.808784,0.000000,0.401912,0.000000,-0.000000,24.627807,354.911870
5,4.0000,24.112862,0.000000,0.401912,0.000000,-0.000000,24.947432,361.602913
5,4.0000,24.416940,0.000000,0.401912,-0.000000,0.000000,25.319579,375.193240
5,4.0000,24.721018,0.000000,0.401912,-0.000000,0.000000,25.577830,376.701213
5,4.0000,25.025097,0.000000,0.401912,-0.000000,0.000000,25.917993,382.810773
5,4.0000,25.329175,0.000000,0.401912,-0.000000,0.000000,26.241954,385.425550
5,4.0000,25.633253,0.000000,0.401912,-0.000000,0.000000,26.626244,387.232025
5,4.0000,25.937331,-0.000000,0.401912,-0.000000,0.000000,26.891329,392.035923
5,4.0000,26.241409,-0.000000,0.401912,-0.000000,0.000000,27.190747,397.975869
5,4.0000,26.545487,-0.000000,0.401912,-0.000000,0.000000,27.577543,400.019875
5,4.0000,26.849565,-0.000000,0.401912,-0.000000,0.000000,27.921063,407.688180
5,4.0000,27.153643,-0.000000,0.401912,-0.000000,0.000000,28.233411,409.779817
5,4.0000,27.457722,-0.000000,0.401912,0.000000,-0.000000,28.570891,412.981895
5,4.0000,27.761800,-0.000000,0.401912,0.000000,-0.000000,28.850805,414.338551
5,4.0000,28.065878,-0.000000,0.401912,0.000000,-0.000000,29.212569,419.835497
5,4.0000,28.369956,-0.000000,0.401912,0.000000,-0.000000,29.573011,421.925147
5,4.0000,28.674034,-0.000000,0.401912,0.000000,-0.000000,29.853797,427.371889
5,4.0000,28.978112,0.000000,0.401912,0.000000,-0.000000,30.113435,430.335408
5,4.0000,29.282190,0.000000,0.401912,0.000000,-0.000000,30.431797,434.740235
5,4.0000,29.586268,0.000000,0.401912,0.000000,-0.000000,30.719504,443.224185
5,4.0000,29.890347,0.000000,0.401912,0.000000,-0.000000,31.046556,451.556342
5,4.0000,30.194425,0.000000,0.401912,0.000000,-0.000000,31.331794,455.590506
5,4.0000,30.498503,0.000000,0.401912,-0.000000,0.000000,31.686885,459.617500
5,4.0000,30.802581,0.000000,0.401912,-0.000000,0.000000,31.993256,464.443030
5,4.0000,31.106659,0.000000,0.401912,-0.000000,0.000000,32.391468,472.876177
5,4.0000,31.410737,0.000000,0.401912,-0.000000,0.000000,32.708306,473.106774
5,4.0000,31.714815,0.000000,0.401912,-0.000000,0.000000,33.105632,477.922262
5,4.0000,32.018893,-0.000000,0.401912,-0.000000,0.000000,33.384890,483.651756
5,4.0000,32.322972,-0.000000,0.401912,-0.000000,0.000000,33.667149,486.679528
5,4.0000,32.627050,-0.000000,0.401912,-0.000000,0.000000,33.942065,498.239006
5,4.0000,32.931128,-0.000000,0.401912,-0.000000,0.000000,34.274437,500.117761
5,4.0000,33.235206,-0.000000,0.401912,-0.000000,0.000000,34.641094,505.315579
5,4.0000,33.539284,-0.000000,0.401912,0.000000,-0.000000,34.978675,510.451341
