# three_species_cycle_noise_sweep_v5 — ONE cyclic community, FIVE environmental
# noise levels (the researcher's own buffeting knob; level 3 = their baseline run).
# columns: level (1..5, ordered low->high noise), noise_rel (relative buffeting
#          amplitude, normalized to the baseline level 3 = 1.0x), tau (community
#          clock — a lag for the two-point columns, elapsed time for the winding
#          columns), C (normalized rotation-plane autocorr), chi (integrated
#          response), Cxy / Cyx (the two directed cross-correlations between the
#          two community-rotation axes), phiMean / phiVar (mean and variance of
#          the cumulative net turnover angle up to elapsed tau, across sub-windows).
# All columns dimensionless (angle in radians). Five operating points (a sweep).
# Generated by the community's own linear NESS propagator + per-level sim — not via conform.
level,noise_rel,tau,C,chi,Cxy,Cyx,phiMean,phiVar
1,0.2000,19.855768,-0.000000,0.401912,-0.000000,0.000000,21.113817,254.355490
1,0.2000,20.159846,-0.000000,0.401912,-0.000000,0.000000,21.447608,256.849976
1,0.2000,20.463925,-0.000000,0.401912,-0.000000,0.000000,21.738144,257.813968
1,0.2000,20.768003,-0.000000,0.401912,-0.000000,0.000000,22.122440,258.830131
1,0.2000,21.072081,-0.000000,0.401912,-0.000000,0.000000,22.496660,263.255261
1,0.2000,21.376159,-0.000000,0.401912,0.000000,-0.000000,22.752374,271.051519
1,0.2000,21.680237,-0.000000,0.401912,0.000000,-0.000000,23.056673,275.004987
1,0.2000,21.984315,-0.000000,0.401912,0.000000,-0.000000,23.313827,276.963536
1,0.2000,22.288393,-0.000000,0.401912,0.000000,-0.000000,23.659414,279.858802
1,0.2000,22.592471,-0.000000,0.401912,0.000000,-0.000000,23.965697,283.909181
1,0.2000,22.896550,0.000000,0.401912,0.000000,-0.000000,24.307644,287.286404
1,0.2000,23.200628,0.000000,0.401912,0.000000,-0.000000,24.688875,298.523901
1,0.2000,23.504706,0.000000,0.401912,0.000000,-0.000000,25.066448,300.996586
1,0.2000,23.808784,0.000000,0.401912,0.000000,-0.000000,25.411524,305.374120
1,0.2000,24.112862,0.000000,0.401912,0.000000,-0.000000,25.733436,308.479429
1,0.2000,24.416940,0.000000,0.401912,-0.000000,0.000000,26.017226,313.709087
1,0.2000,24.721018,0.000000,0.401912,-0.000000,0.000000,26.301621,317.356182
1,0.2000,25.025097,0.000000,0.401912,-0.000000,0.000000,26.692968,317.446833
1,0.2000,25.329175,0.000000,0.401912,-0.000000,0.000000,26.954472,317.631032
1,0.2000,25.633253,0.000000,0.401912,-0.000000,0.000000,27.262514,322.035867
1,0.2000,25.937331,-0.000000,0.401912,-0.000000,0.000000,27.595432,328.857156
1,0.2000,26.241409,-0.000000,0.401912,-0.000000,0.000000,27.829669,332.481314
1,0.2000,26.545487,-0.000000,0.401912,-0.000000,0.000000,28.072554,340.849536
1,0.2000,26.849565,-0.000000,0.401912,-0.000000,0.000000,28.368746,346.101888
1,0.2000,27.153643,-0.000000,0.401912,-0.000000,0.000000,28.670756,347.885095
1,0.2000,27.457722,-0.000000,0.401912,0.000000,-0.000000,28.904054,348.961712
1,0.2000,27.761800,-0.000000,0.401912,0.000000,-0.000000,29.291694,352.403301
1,0.2000,28.065878,-0.000000,0.401912,0.000000,-0.000000,29.632259,354.811285
1,0.2000,28.369956,-0.000000,0.401912,0.000000,-0.000000,29.942596,362.338585
1,0.2000,28.674034,-0.000000,0.401912,0.000000,-0.000000,30.291271,365.008035
1,0.2000,28.978112,0.000000,0.401912,0.000000,-0.000000,30.581069,369.527094
1,0.2000,29.282190,0.000000,0.401912,0.000000,-0.000000,30.939040,371.443611
1,0.2000,29.586268,0.000000,0.401912,0.000000,-0.000000,31.273685,376.585861
1,0.2000,29.890347,0.000000,0.401912,0.000000,-0.000000,31.592688,383.789073
1,0.2000,30.194425,0.000000,0.401912,0.000000,-0.000000,31.941488,391.660298
1,0.2000,30.498503,0.000000,0.401912,-0.000000,0.000000,32.210697,392.962223
1,0.2000,30.802581,0.000000,0.401912,-0.000000,0.000000,32.522911,396.098560
1,0.2000,31.106659,0.000000,0.401912,-0.000000,0.000000,32.861549,396.806664
1,0.2000,31.410737,0.000000,0.401912,-0.000000,0.000000,33.179258,402.065112
1,0.2000,31.714815,0.000000,0.401912,-0.000000,0.000000,33.480167,408.799218
1,0.2000,32.018893,-0.000000,0.401912,-0.000000,0.000000,33.757762,411.010633
1,0.2000,32.322972,-0.000000,0.401912,-0.000000,0.000000,34.072576,410.052063
1,0.2000,32.627050,-0.000000,0.401912,-0.000000,0.000000,34.363047,412.117222
1,0.2000,32.931128,-0.000000,0.401912,-0.000000,0.000000,34.816242,416.907935
1,0.2000,33.235206,-0.000000,0.401912,-0.000000,0.000000,35.137456,420.677895
1,0.2000,33.539284,-0.000000,0.401912,0.000000,-0.000000,35.412615,421.590697
1,0.2000,33.843362,-0.000000,0.401912,0.000000,-0.000000,35.732125,425.324913
1,0.2000,34.147440,-0.000000,0.401912,0.000000,-0.000000,36.148011,432.501435
1,0.2000,34.451519,-0.000000,0.401912,0.000000,-0.000000,36.375603,438.243887
1,0.2000,34.755597,-0.000000,0.401912,0.000000,-0.000000,36.757884,443.246821
1,0.2000,35.059675,0.000000,0.401912,0.000000,-0.000000,37.135716,445.985241
1,0.2000,35.363753,0.000000,0.401912,0.000000,-0.000000,37.253996,458.063876
1,0.2000,35.667831,0.000000,0.401912,0.000000,-0.000000,37.589704,457.416748
1,0.2000,35.971909,0.000000,0.401912,0.000000,-0.000000,37.835526,459.135773
