# three_species_coupling_sweep_v11 — ONE cyclic community, FIVE cyclic-coupling
# strengths (the researcher's own interaction-strength knob; level 3 = their
# baseline run). The environment/noise is the SAME at every level.
# columns: level (1..5, ordered weak->strong coupling), coupling_rel (relative
#          cyclic-interaction strength, normalized to the baseline level 3 = 1.0x),
#          tau (community clock — a lag for the two-point columns, elapsed time for
#          the winding columns), C (normalized rotation-plane autocorr), chi
#          (integrated response), Cxy / Cyx (the two directed cross-correlations
#          between the two community-rotation axes), phiMean / phiVar (mean and
#          variance of the cumulative net turnover angle up to elapsed tau).
# All columns dimensionless (angle in radians). Five operating points (a sweep).
# Each level watched on its OWN clock, so tau ranges differ (slow loops watched longer).
# Generated by the community's own linear NESS propagator + per-level sim — not via conform.
level,coupling_rel,tau,C,chi,Cxy,Cyx,phiMean,phiVar
1,0.2500,76.990448,0.000000,0.718627,-0.000000,0.000000,18.738720,1317.512706
1,0.2500,78.206761,0.000000,0.718627,-0.000000,0.000000,19.254443,1332.161199
1,0.2500,79.423073,-0.000000,0.718627,-0.000000,0.000000,19.470299,1345.741533
1,0.2500,80.639386,-0.000000,0.718627,-0.000000,0.000000,19.830425,1355.991265
1,0.2500,81.855698,-0.000000,0.718627,-0.000000,0.000000,20.308283,1476.061416
1,0.2500,83.072011,-0.000000,0.718627,-0.000000,0.000000,20.689800,1504.339232
1,0.2500,84.288323,-0.000000,0.718627,-0.000000,0.000000,20.988723,1539.114375
1,0.2500,85.504636,-0.000000,0.718627,0.000000,-0.000000,21.324563,1557.643531
1,0.2500,86.720948,-0.000000,0.718627,0.000000,-0.000000,21.656612,1573.603555
1,0.2500,87.937261,-0.000000,0.718627,0.000000,-0.000000,22.000267,1582.251305
1,0.2500,89.153573,-0.000000,0.718627,0.000000,-0.000000,22.172901,1589.726147
1,0.2500,90.369886,-0.000000,0.718627,0.000000,-0.000000,22.271163,1605.294397
1,0.2500,91.586198,0.000000,0.718627,0.000000,-0.000000,22.526682,1630.876171
1,0.2500,92.802511,0.000000,0.718627,0.000000,-0.000000,22.756515,1652.925739
1,0.2500,94.018824,0.000000,0.718627,0.000000,-0.000000,22.952406,1668.029307
1,0.2500,95.235136,0.000000,0.718627,0.000000,-0.000000,23.373568,1688.524434
1,0.2500,96.451449,0.000000,0.718627,0.000000,-0.000000,23.838184,1708.668084
1,0.2500,97.667761,0.000000,0.718627,-0.000000,0.000000,24.191229,1720.399943
1,0.2500,98.884074,0.000000,0.718627,-0.000000,0.000000,24.842369,2027.591019
1,0.2500,100.100386,0.000000,0.718627,-0.000000,0.000000,25.088161,2036.467042
1,0.2500,101.316699,0.000000,0.718627,-0.000000,0.000000,25.397423,2048.096859
1,0.2500,102.533011,0.000000,0.718627,-0.000000,0.000000,25.823470,2065.834764
1,0.2500,103.749324,-0.000000,0.718627,-0.000000,0.000000,26.234210,2084.256116
1,0.2500,104.965636,-0.000000,0.718627,-0.000000,0.000000,26.503044,2093.048804
1,0.2500,106.181949,-0.000000,0.718627,-0.000000,0.000000,26.712595,2106.156907
1,0.2500,107.398261,-0.000000,0.718627,-0.000000,0.000000,26.971549,2122.059366
1,0.2500,108.614574,-0.000000,0.718627,-0.000000,0.000000,27.362673,2128.767398
1,0.2500,109.830886,-0.000000,0.718627,0.000000,-0.000000,27.587634,2136.403902
1,0.2500,111.047199,-0.000000,0.718627,0.000000,-0.000000,27.927326,2151.212885
1,0.2500,112.263511,-0.000000,0.718627,0.000000,-0.000000,28.037324,2218.733854
1,0.2500,113.479824,-0.000000,0.718627,0.000000,-0.000000,28.366975,2235.906895
1,0.2500,114.696136,-0.000000,0.718627,0.000000,-0.000000,28.853301,2259.659862
1,0.2500,115.912449,0.000000,0.718627,0.000000,-0.000000,29.278531,2264.783662
1,0.2500,117.128761,0.000000,0.718627,0.000000,-0.000000,29.520854,2270.422536
1,0.2500,118.345074,0.000000,0.718627,0.000000,-0.000000,29.921875,2311.164064
1,0.2500,119.561386,0.000000,0.718627,0.000000,-0.000000,30.273560,2336.936327
1,0.2500,120.777699,0.000000,0.718627,0.000000,-0.000000,30.585429,2360.113934
1,0.2500,121.994011,0.000000,0.718627,-0.000000,0.000000,30.976900,2363.587871
1,0.2500,123.210324,0.000000,0.718627,-0.000000,0.000000,31.228719,2389.766710
1,0.2500,124.426636,0.000000,0.718627,-0.000000,0.000000,31.589685,2403.247631
1,0.2500,125.642949,0.000000,0.718627,-0.000000,0.000000,31.897800,2413.463844
1,0.2500,126.859261,0.000000,0.718627,-0.000000,0.000000,32.113376,2437.178160
1,0.2500,128.075574,-0.000000,0.718627,-0.000000,0.000000,32.424191,2445.792212
1,0.2500,129.291886,-0.000000,0.718627,-0.000000,0.000000,32.525076,2448.468828
