# community_pair_v6 — two three-population loop communities, one long
#   observation window each. Stacked: 'community' is a neutral 0/1 index
#   (which is which dynamical class is NOT encoded — that is the question).
# columns: community (0 or 1), tau (the community's own clock — a lag for the
#   two-point columns, an elapsed time for the winding columns), C (normalized
#   rotation-plane autocorr), chi (integrated response), Cxy / Cyx (the two
#   directed cross-correlations between the two community-rotation axes),
#   phiMean / phiVar (mean and variance of the cumulative net turnover angle
#   swept up to elapsed tau, across the run's sub-windows).
# All columns dimensionless (angle in radians). Two operating points.
# Generated by each community's own exact linear propagator + sim — not via conform.
community,tau,C,chi,Cxy,Cyx,phiMean,phiVar
0,12.791176,0.004798,1.508410,0.004798,0.004798,-0.250010,120.737797
0,12.958824,0.004487,1.508896,0.004487,0.004487,-0.194765,122.091142
0,13.126471,0.004196,1.509351,0.004196,0.004196,-0.198886,123.814970
0,13.294118,0.003923,1.509776,0.003923,0.003923,-0.210322,124.917000
0,13.461765,0.003669,1.510174,0.003669,0.003669,-0.239225,128.875893
0,13.629412,0.003431,1.510546,0.003431,0.003431,-0.252940,130.276088
0,13.797059,0.003208,1.510894,0.003208,0.003208,-0.321021,146.744043
0,13.964706,0.003000,1.511219,0.003000,0.003000,-0.326276,148.565983
0,14.132353,0.002806,1.511523,0.002806,0.002806,-0.297405,151.097381
0,14.300000,0.002624,1.511808,0.002624,0.002624,-0.353396,153.797505
0,14.467647,0.002454,1.512074,0.002454,0.002454,-0.385715,158.295093
0,14.635294,0.002294,1.512322,0.002294,0.002294,-0.384602,159.700288
0,14.802941,0.002146,1.512555,0.002146,0.002146,-0.416611,164.101052
0,14.970588,0.002006,1.512773,0.002006,0.002006,-0.395021,165.238336
0,15.138235,0.001876,1.512976,0.001876,0.001876,-0.314836,170.476961
0,15.305882,0.001755,1.513166,0.001755,0.001755,-0.311083,170.463167
0,15.473529,0.001641,1.513344,0.001641,0.001641,-0.315619,171.341362
0,15.641176,0.001534,1.513510,0.001534,0.001534,-0.324869,171.998776
0,15.808824,0.001435,1.513666,0.001435,0.001435,-0.334722,173.423201
0,15.976471,0.001342,1.513812,0.001342,0.001342,-0.368340,174.387082
0,16.144118,0.001255,1.513948,0.001255,0.001255,-0.376245,175.058530
0,16.311765,0.001173,1.514075,0.001173,0.001173,-0.336679,175.466673
0,16.479412,0.001097,1.514194,0.001097,0.001097,-0.362871,178.617672
0,16.647059,0.001026,1.514305,0.001026,0.001026,-0.377534,182.640465
0,16.814706,0.000960,1.514409,0.000960,0.000960,-0.391375,184.027419
0,16.982353,0.000897,1.514506,0.000897,0.000897,-0.387429,184.645719
0,17.150000,0.000839,1.514597,0.000839,0.000839,-0.437639,186.022169
0,17.317647,0.000785,1.514682,0.000785,0.000785,-0.468759,186.390652
0,17.485294,0.000734,1.514762,0.000734,0.000734,-0.513542,187.612804
0,17.652941,0.000686,1.514836,0.000686,0.000686,-0.501788,188.563750
0,17.820588,0.000642,1.514906,0.000642,0.000642,-0.488139,189.098028
0,17.988235,0.000600,1.514971,0.000600,0.000600,-0.513598,190.379853
0,18.155882,0.000561,1.515032,0.000561,0.000561,-0.498926,192.012987
0,18.323529,0.000525,1.515089,0.000525,0.000525,-0.498517,194.684367
0,18.491176,0.000491,1.515142,0.000491,0.000491,-0.486973,195.752266
0,18.658824,0.000459,1.515192,0.000459,0.000459,-0.446414,199.209562
0,18.826471,0.000429,1.515238,0.000429,0.000429,-0.479227,200.831176
0,18.994118,0.000401,1.515282,0.000401,0.000401,-0.479736,201.788329
0,19.161765,0.000375,1.515322,0.000375,0.000375,-0.519514,203.638196
0,19.329412,0.000351,1.515360,0.000351,0.000351,-0.521532,204.077012
0,19.497059,0.000328,1.515396,0.000328,0.000328,-0.513442,207.256677
0,19.664706,0.000307,1.515429,0.000307,0.000307,-0.491193,208.059759
0,19.832353,0.000287,1.515460,0.000287,0.000287,-0.477396,209.139084
0,20.000000,0.000268,1.515489,0.000268,0.000268,-0.461103,209.202636
1,0.090690,0.909248,0.000000,-0.085949,0.085949,0.098464,0.659876
1,0.394768,0.617921,0.232189,-0.268755,0.268755,0.415257,4.928181
1,0.698846,0.371706,0.382651,-0.330153,0.330153,0.649528,14.360335
1,1.002924,0.184966,0.467287,-0.316755,0.316755,0.936471,17.172458
1,1.307002,0.057082,0.504088,-0.264542,0.264542,1.209503,21.796465
1,1.611081,-0.020627,0.509631,-0.198603,0.198603,1.483886,25.755181
1,1.915159,-0.060003,0.497372,-0.134545,0.134545,1.786701,28.653916
1,2.219237,-0.072928,0.477161,-0.080594,0.080594,2.090906,31.336255
1,2.523315,-0.069622,0.455488,-0.039797,0.039797,2.334339,34.953533
1,2.827393,-0.057949,0.436092,-0.011945,0.011945,2.682559,39.038741
1,3.131471,-0.043376,0.420687,0.004911,-0.004911,2.979233,43.776972
1,3.435549,-0.029293,0.409638,0.013389,-0.013389,3.266976,46.867971
1,3.739628,-0.017472,0.402528,0.016106,-0.016106,3.602960,48.776908
1,4.043706,-0.008560,0.398571,0.015301,-0.015301,3.920671,50.920405
1,4.347784,-0.002494,0.396890,0.012693,-0.012693,4.248611,54.672341
1,4.651862,0.001161,0.396687,0.009473,-0.009473,4.489429,58.948558
1,4.955940,0.002986,0.397318,0.006377,-0.006377,4.840599,62.195357
1,5.260018,0.003556,0.398313,0.003787,-0.003787,5.138229,67.582225
1,5.564096,0.003362,0.399364,0.001840,-0.001840,5.448073,69.411699
1,5.868174,0.002780,0.400298,0.000520,-0.000520,5.706898,71.514206
1,6.172253,0.002069,0.401035,-0.000273,0.000273,6.031483,75.154191
1,6.476331,0.001388,0.401561,-0.000666,0.000666,6.427871,78.011742
1,6.780409,0.000821,0.401897,-0.000785,0.000785,6.720433,80.958898
1,7.084487,0.000396,0.402082,-0.000739,0.000739,6.978454,83.751732
1,7.388565,0.000108,0.402158,-0.000609,0.000609,7.279207,87.105619
1,7.692643,-0.000064,0.402165,-0.000452,0.000452,7.580769,89.210807
1,7.996721,-0.000148,0.402133,-0.000302,0.000302,7.877427,92.721752
1,8.300799,-0.000173,0.402084,-0.000178,0.000178,8.148583,96.603369
1,8.604878,-0.000162,0.402033,-0.000085,0.000085,8.508116,101.198413
1,8.908956,-0.000133,0.401988,-0.000022,0.000022,8.799464,104.295830
1,9.213034,-0.000099,0.401953,0.000015,-0.000015,9.110633,109.225655
1,9.517112,-0.000066,0.401928,0.000033,-0.000033,9.410726,113.083167
1,9.821190,-0.000039,0.401912,0.000038,-0.000038,9.698704,120.489892
1,10.125268,-0.000018,0.401903,0.000036,-0.000036,9.962422,129.193906
1,10.429346,-0.000005,0.401900,0.000029,-0.000029,10.283899,134.642706
1,10.733424,0.000003,0.401899,0.000022,-0.000022,10.636891,139.338577
1,11.037503,0.000007,0.401901,0.000014,-0.000014,10.989771,146.433501
1,11.341581,0.000008,0.401904,0.000008,-0.000008,11.329965,149.200719
1,11.645659,0.000008,0.401906,0.000004,-0.000004,11.713521,155.211519
1,11.949737,0.000006,0.401908,0.000001,-0.000001,11.952604,186.805734
1,12.253815,0.000005,0.401910,-0.000001,0.000001,12.306727,189.301015
1,12.557893,0.000003,0.401911,-0.000002,0.000002,12.559383,190.891711
1,12.861971,0.000002,0.401912,-0.000002,0.000002,12.887675,193.995559
1,13.166050,0.000001,0.401912,-0.000002,0.000002,13.275281,197.473668
1,13.470128,0.000000,0.401912,-0.000001,0.000001,13.627808,200.871754
1,13.774206,-0.000000,0.401912,-0.000001,0.000001,13.942303,206.955258
1,14.078284,-0.000000,0.401912,-0.000001,0.000001,14.283695,218.117744
1,14.382362,-0.000000,0.401912,-0.000000,0.000000,14.556346,224.101911
1,14.686440,-0.000000,0.401912,-0.000000,0.000000,14.841274,225.919566
1,14.990518,-0.000000,0.401912,-0.000000,0.000000,15.221718,231.003372
1,15.294596,-0.000000,0.401912,0.000000,-0.000000,15.564681,235.136145
1,15.598675,-0.000000,0.401912,0.000000,-0.000000,15.865262,238.804555
1,15.902753,-0.000000,0.401912,0.000000,-0.000000,16.169131,243.127474
1,16.206831,-0.000000,0.401912,0.000000,-0.000000,16.481339,243.705558
1,16.510909,-0.000000,0.401912,0.000000,-0.000000,16.763211,251.577698
1,16.814987,0.000000,0.401912,0.000000,-0.000000,17.151918,254.659886
1,17.119065,0.000000,0.401912,0.000000,-0.000000,17.521390,256.627617
1,17.423143,0.000000,0.401912,0.000000,-0.000000,17.758475,261.601552
1,17.727221,0.000000,0.401912,0.000000,-0.000000,18.213502,268.961870
1,18.031300,0.000000,0.401912,0.000000,-0.000000,18.536008,273.360212
1,18.335378,0.000000,0.401912,-0.000000,0.000000,18.833364,277.837159
1,18.639456,0.000000,0.401912,-0.000000,0.000000,19.185312,286.252826
1,18.943534,0.000000,0.401912,-0.000000,0.000000,19.508172,289.928490
1,19.247612,0.000000,0.401912,-0.000000,0.000000,19.875250,292.681752
1,19.551690,0.000000,0.401912,-0.000000,0.000000,20.185176,297.220251
1,19.855768,-0.000000,0.401912,-0.000000,0.000000,20.503448,300.926862
1,20.159846,-0.000000,0.401912,-0.000000,0.000000,20.818629,305.344060
1,20.463925,-0.000000,0.401912,-0.000000,0.000000,21.178460,308.152499
1,20.768003,-0.000000,0.401912,-0.000000,0.000000,21.611449,330.210127
1,21.072081,-0.000000,0.401912,-0.000000,0.000000,21.939746,334.461337
1,21.376159,-0.000000,0.401912,0.000000,-0.000000,22.310957,334.220686
1,21.680237,-0.000000,0.401912,0.000000,-0.000000,22.665974,336.933221
1,21.984315,-0.000000,0.401912,0.000000,-0.000000,22.978991,340.808836
1,22.288393,-0.000000,0.401912,0.000000,-0.000000,23.298466,346.933512
1,22.592471,-0.000000,0.401912,0.000000,-0.000000,23.518589,349.339640
1,22.896550,0.000000,0.401912,0.000000,-0.000000,23.842932,351.411477
1,23.200628,0.000000,0.401912,0.000000,-0.000000,24.134130,357.245637
1,23.504706,0.000000,0.401912,0.000000,-0.000000,24.487308,360.251819
1,23.808784,0.000000,0.401912,0.000000,-0.000000,24.834882,362.295127
1,24.112862,0.000000,0.401912,0.000000,-0.000000,25.092758,363.576088
1,24.416940,0.000000,0.401912,-0.000000,0.000000,25.319630,377.574704
1,24.721018,0.000000,0.401912,-0.000000,0.000000,25.640795,380.817483
1,25.025097,0.000000,0.401912,-0.000000,0.000000,25.936530,384.497165
1,25.329175,0.000000,0.401912,-0.000000,0.000000,26.283285,389.350798
1,25.633253,0.000000,0.401912,-0.000000,0.000000,26.638719,391.031316
1,25.937331,-0.000000,0.401912,-0.000000,0.000000,26.917948,394.237915
1,26.241409,-0.000000,0.401912,-0.000000,0.000000,27.203991,395.788551
1,26.545487,-0.000000,0.401912,-0.000000,0.000000,27.544482,397.487870
1,26.849565,-0.000000,0.401912,-0.000000,0.000000,27.895814,403.908633
1,27.153643,-0.000000,0.401912,-0.000000,0.000000,28.221046,407.412607
1,27.457722,-0.000000,0.401912,0.000000,-0.000000,28.582248,412.896833
1,27.761800,-0.000000,0.401912,0.000000,-0.000000,28.916827,415.573729
1,28.065878,-0.000000,0.401912,0.000000,-0.000000,29.247567,419.105869
1,28.369956,-0.000000,0.401912,0.000000,-0.000000,29.454718,430.107103
1,28.674034,-0.000000,0.401912,0.000000,-0.000000,29.856841,432.605237
1,28.978112,0.000000,0.401912,0.000000,-0.000000,30.217192,442.578394
1,29.282190,0.000000,0.401912,0.000000,-0.000000,30.606797,448.912759
1,29.586268,0.000000,0.401912,0.000000,-0.000000,30.938858,452.396686
1,29.890347,0.000000,0.401912,0.000000,-0.000000,31.288711,456.604007
1,30.194425,0.000000,0.401912,0.000000,-0.000000,31.566329,464.009880
1,30.498503,0.000000,0.401912,-0.000000,0.000000,31.801700,466.211416
1,30.802581,0.000000,0.401912,-0.000000,0.000000,32.124665,469.971271
1,31.106659,0.000000,0.401912,-0.000000,0.000000,32.429499,472.242342
1,31.410737,0.000000,0.401912,-0.000000,0.000000,32.733066,474.580374
1,31.714815,0.000000,0.401912,-0.000000,0.000000,33.087196,476.908365
1,32.018893,-0.000000,0.401912,-0.000000,0.000000,33.286745,492.780328
1,32.322972,-0.000000,0.401912,-0.000000,0.000000,33.579218,501.174149
1,32.627050,-0.000000,0.401912,-0.000000,0.000000,33.939254,502.761234
1,32.931128,-0.000000,0.401912,-0.000000,0.000000,34.278626,507.119845
1,33.235206,-0.000000,0.401912,-0.000000,0.000000,34.570112,508.910514
1,33.539284,-0.000000,0.401912,0.000000,-0.000000,34.864308,512.100275
1,33.843362,-0.000000,0.401912,0.000000,-0.000000,35.165310,515.561710
1,34.147440,-0.000000,0.401912,0.000000,-0.000000,35.480201,517.694522
1,34.451519,-0.000000,0.401912,0.000000,-0.000000,35.753386,523.378123
1,34.755597,-0.000000,0.401912,0.000000,-0.000000,36.024354,528.745820
1,35.059675,0.000000,0.401912,0.000000,-0.000000,36.330942,529.905883
1,35.363753,0.000000,0.401912,0.000000,-0.000000,36.663282,531.388380
1,35.667831,0.000000,0.401912,0.000000,-0.000000,36.996778,536.157064
1,35.971909,0.000000,0.401912,0.000000,-0.000000,37.332821,539.515893
1,36.275987,0.000000,0.401912,-0.000000,0.000000,37.595437,548.216293
