# observation_window_sweep_v13 -- BLIND artifact (provenance below stripped by pose.py).
# ONE fluctuating signal, measured at FIVE observation-window lengths (level 0 shortest
# watching -> level 4 longest). tau is the signal's own clock (a lag). Columns: level,
# window_rel (relative observation-window length, normalized to the shortest run = 1.0x),
# tau, C (autocorrelation), chi (integrated step-response). No times, no model parameters.
# Sampling is fixed-fine; only the observation DURATION (max lag) differs across levels.
level,window_rel,tau,C,chi
3,2.43835,0.162852,0.93978922,0.060210776
3,2.43835,0.185683,0.93210334,0.067896662
3,2.43835,0.211715,0.92355099,0.076449012
3,2.43835,0.241397,0.91406695,0.085933054
3,2.43835,0.275241,0.90359059,0.096409414
3,2.43835,0.313829,0.89206934,0.10793066
3,2.43835,0.357827,0.87946294,0.12053706
3,2.43835,0.407994,0.8657485,0.1342515
3,2.43835,0.465193,0.85092639,0.14907361
3,2.43835,0.530413,0.83502671,0.16497329
3,2.43835,0.604775,0.81811611,0.18188389
3,2.43835,0.689563,0.80030444,0.19969556
3,2.43835,0.786239,0.78175046,0.21824954
3,2.43835,0.896468,0.76266569,0.23733431
3,2.43835,1.02215,0.74331514,0.25668486
3,2.43835,1.16545,0.72401359,0.27598641
3,2.43835,1.32885,0.70511607,0.29488393
3,2.43835,1.51515,0.68700173,0.31299827
3,2.43835,1.72757,0.67005063,0.32994937
3,2.43835,1.96977,0.65461477,0.34538523
3,2.43835,2.24593,0.6409856,0.3590144
3,2.43835,2.5608,0.62936253,0.37063747
3,2.43835,2.91982,0.61982795,0.38017205
3,2.43835,3.32918,0.61233486,0.38766514
3,2.43835,3.79592,0.60671166,0.39328834
3,2.43835,4.3281,0.60268579,0.39731421
3,2.43835,4.93489,0.59992286,0.40007714
3,2.43835,5.62675,0.59807353,0.40192647
3,2.43835,6.41561,0.59681729,0.40318271
3,2.43835,7.31506,0.59589315,0.40410685
4,3.28193,0,1,0
4,3.28193,0.05,0.98046177,0.019538229
4,3.28193,0.0574574,0.97763038,0.022369621
4,3.28193,0.066027,0.97440262,0.025597381
4,3.28193,0.0758748,0.97072739,0.029272612
4,3.28193,0.0871913,0.96654839,0.033451615
4,3.28193,0.100196,0.96180404,0.038195963
4,3.28193,0.11514,0.9564276,0.043572399
4,3.28193,0.132312,0.95034752,0.049652478
4,3.28193,0.152046,0.94348812,0.05651188
4,3.28193,0.174724,0.93577072,0.064229276
4,3.28193,0.200783,0.92711536,0.072884639
4,3.28193,0.23073,0.91744315,0.08255685
4,3.28193,0.265143,0.90667955,0.093320453
4,3.28193,0.304688,0.89475857,0.10524143
4,3.28193,0.350131,0.88162813,0.11837187
4,3.28193,0.402353,0.86725656,0.13274344
4,3.28193,0.462363,0.85164021,0.14835979
4,3.28193,0.531323,0.83481201,0.16518799
4,3.28193,0.610568,0.81685061,0.18314939
4,3.28193,0.701633,0.79788914,0.20211086
4,3.28193,0.80628,0.77812282,0.22187718
4,3.28193,0.926535,0.75781365,0.24218635
4,3.28193,1.06473,0.73729054,0.26270946
4,3.28193,1.22353,0.7169427,0.2830573
4,3.28193,1.40601,0.6972045,0.3027955
4,3.28193,1.61572,0.67853071,0.32146929
4,3.28193,1.8567,0.66136217,0.33863783
4,3.28193,2.13362,0.64608448,0.35391552
4,3.28193,2.45184,0.63298464,0.36701536
4,3.28193,2.81753,0.62221327,0.37778673
4,3.28193,3.23775,0.61376126,0.38623874
4,3.28193,3.72066,0.60745897,0.39254103
4,3.28193,4.27558,0.60300169,0.39699831
4,3.28193,4.91328,0.59999861,0.40000139
4,3.28193,5.64608,0.59803443,0.40196557
4,3.28193,6.48818,0.59672822,0.40327178
4,3.28193,7.45588,0.59577432,0.40422568
4,3.28193,8.5679,0.59495726,0.40504274
4,3.28193,9.84578,0.5941427,0.4058573
5,4.41734,0,1,0
5,4.41734,0.05,0.98046177,0.019538229
5,4.41734,0.0579084,0.97745982,0.022540179
5,4.41734,0.0670676,0.97401255,0.025987446
5,4.41734,0.0776755,0.97005924,0.029940759
5,4.41734,0.0899613,0.96553266,0.034467338
5,4.41734,0.10419,0.96035905,0.039640955
5,4.41734,0.12067,0.95445826,0.045541738
5,4.41734,0.139756,0.94774439,0.052255606
5,4.41734,0.161861,0.94012681,0.059873193
5,4.41734,0.187462,0.9315119,0.068488103
5,4.41734,0.217112,0.92180568,0.078194325
5,4.41734,0.251452,0.91091744,0.08908256
5,4.41734,0.291224,0.89876471,0.10123529
5,4.41734,0.337286,0.88527961,0.11472039
5,4.41734,0.390633,0.87041693,0.12958307
5,4.41734,0.452419,0.85416367,0.14583633
5,4.41734,0.523977,0.83655006,0.16344994
5,4.41734,0.606853,0.81766139,0.18233861
5,4.41734,0.702837,0.79764975,0.20235025
5,4.41734,0.814004,0.77674405,0.22325595
5,4.41734,0.942752,0.75525627,0.24474373
5,4.41734,1.09187,0.73358122,0.26641878
5,4.41734,1.26456,0.71218682,0.28781318
5,4.41734,1.46458,0.69159233,0.30840767
5,4.41734,1.69622,0.67233299,0.32766701
5,4.41734,1.96451,0.6549122,0.3450878
5,4.41734,2.27523,0.63974558,0.36025442
5,4.41734,2.6351,0.6271057,0.3728943
5,4.41734,3.05189,0.61707948,0.38292052
5,4.41734,3.5346,0.60955117,0.39044883
5,4.41734,4.09366,0.60422008,0.39577992
5,4.41734,4.74114,0.60065352,0.39934648
5,4.41734,5.49104,0.59836384,0.40163616
5,4.41734,6.35954,0.59688845,0.40311155
5,4.41734,7.36541,0.59585009,0.40414991
5,4.41734,8.53038,0.59498249,0.40501751
5,4.41734,9.87961,0.5941219,0.4058781
5,4.41734,11.4422,0.59317808,0.40682192
5,4.41734,13.252,0.59210194,0.40789806
6,5.94557,0,1,0
6,5.94557,0.05,0.98046177,0.019538229
6,5.94557,0.0583629,0.977288,0.022711999
6,5.94557,0.0681246,0.97361676,0.026383243
6,5.94557,0.079519,0.96937648,0.030623521
6,5.94557,0.0928192,0.96448761,0.03551239
6,5.94557,0.108344,0.95886255,0.041137455
6,5.94557,0.126465,0.95240597,0.047594028
6,5.94557,0.147618,0.94501575,0.054984251
6,5.94557,0.172308,0.93658454,0.063415464
6,5.94557,0.201128,0.92700241,0.072997595
6,5.94557,0.234768,0.91616073,0.083839266
6,5.94557,0.274035,0.90395767,0.096042332
6,5.94557,0.31987,0.89030546,0.10969454
6,5.94557,0.373371,0.87513993,0.12486007
6,5.94557,0.43582,0.85843211,0.14156789
6,5.94557,0.508715,0.84020194,0.15979806
6,5.94557,0.593802,0.82053337,0.17946663
6,5.94557,0.69312,0.7995897,0.2004103
6,5.94557,0.80905,0.77762709,0.22237291
6,5.94557,0.94437,0.75500338,0.24499662
6,5.94557,1.10232,0.73217829,0.26782171
6,5.94557,1.2867,0.70970106,0.29029894
6,5.94557,1.50191,0.68818147,0.31181853
6,5.94557,1.75311,0.66824248,0.33175752
6,5.94557,2.04634,0.65045636,0.34954364
6,5.94557,2.3886,0.63527161,0.36472839
6,5.94557,2.78812,0.62294422,0.37705578
6,5.94557,3.25445,0.61349126,0.38650874
6,5.94557,3.79879,0.60668421,0.39331579
6,5.94557,4.43417,0.60209137,0.39790863
6,5.94557,5.17582,0.59916317,0.40083683
6,5.94557,6.04152,0.5973372,0.4026628
6,5.94557,7.05201,0.59612994,0.40387006
6,5.94557,8.23152,0.59518781,0.40481219
6,5.94557,9.60831,0.59428949,0.40571051
6,5.94557,11.2154,0.59331375,0.40668625
6,5.94557,13.0912,0.59219727,0.40780273
6,5.94557,15.2809,0.59090127,0.40909873
6,5.94557,17.8367,0.58939286,0.41060714
7,8.0025,0,1,0
7,8.0025,0.05,0.98046177,0.019538229
7,8.0025,0.058821,0.97711491,0.022885088
7,8.0025,0.0691983,0.97321515,0.026784851
7,8.0025,0.0814062,0.96867881,0.031321186
7,8.0025,0.095768,0.96341248,0.036587521
7,8.0025,0.112663,0.95731295,0.042687049
7,8.0025,0.13254,0.95026782,0.049732184
7,8.0025,0.155922,0.94215676,0.057843235
7,8.0025,0.18343,0.932854,0.067146001
7,8.0025,0.215791,0.92223208,0.077767919
7,8.0025,0.253861,0.91016764,0.089832365
7,8.0025,0.298647,0.89654934,0.10345066
7,8.0025,0.351334,0.88128859,0.11871141
7,8.0025,0.413317,0.8643331,0.1356669
7,8.0025,0.486234,0.84568337,0.15431663
7,8.0025,0.572016,0.82541144,0.17458856
7,8.0025,0.672932,0.80368065,0.19631935
7,8.0025,0.79165,0.78076376,0.21923624
7,8.0025,0.931314,0.75705577,0.24294423
7,8.0025,1.09562,0.73307637,0.26692363
7,8.0025,1.28891,0.70945604,0.29054396
7,8.0025,1.51629,0.68690042,0.31309958
7,8.0025,1.7838,0.66613008,0.33386992
7,8.0025,2.0985,0.64779837,0.35220163
7,8.0025,2.46872,0.63239798,0.36760202
7,8.0025,2.90425,0.62017595,0.37982405
