# three_species_cycle_v3 — one cyclic-community observation window.
# columns: tau (community clock — a lag for the two-point columns, an
#          elapsed time for the winding columns; same clock either way),
#          C (normalized rotation-plane autocorr), chi (integrated
#          response), Cxy / Cyx (the two directed cross-correlations
#          between the two community-rotation axes), phiMean / phiVar
#          (mean and variance of the cumulative net turnover angle swept
#          up to elapsed tau, across the run's sub-windows).
# All columns dimensionless (angle in radians). One operating point.
# Generated by the community's own linear NESS propagator + sim — not via conform.
tau,C,chi,Cxy,Cyx,phiMean,phiVar
24.416940,0.000000,0.401912,-0.000000,0.000000,25.349533,506.396991
24.721018,0.000000,0.401912,-0.000000,0.000000,25.730513,516.125670
25.025097,0.000000,0.401912,-0.000000,0.000000,26.031332,516.269234
25.329175,0.000000,0.401912,-0.000000,0.000000,26.346745,520.865890
25.633253,0.000000,0.401912,-0.000000,0.000000,26.698049,525.610043
25.937331,-0.000000,0.401912,-0.000000,0.000000,27.067028,525.436052
26.241409,-0.000000,0.401912,-0.000000,0.000000,27.380206,529.345071
26.545487,-0.000000,0.401912,-0.000000,0.000000,27.664455,530.629727
26.849565,-0.000000,0.401912,-0.000000,0.000000,27.952458,534.847577
27.153643,-0.000000,0.401912,-0.000000,0.000000,28.296981,536.302225
27.457722,-0.000000,0.401912,0.000000,-0.000000,28.454403,590.864308
27.761800,-0.000000,0.401912,0.000000,-0.000000,28.807760,592.926068
28.065878,-0.000000,0.401912,0.000000,-0.000000,29.189915,596.026629
28.369956,-0.000000,0.401912,0.000000,-0.000000,29.533098,597.453881
28.674034,-0.000000,0.401912,0.000000,-0.000000,29.792579,598.755707
28.978112,0.000000,0.401912,0.000000,-0.000000,30.178045,602.535869
29.282190,0.000000,0.401912,0.000000,-0.000000,30.474257,605.034974
29.586268,0.000000,0.401912,0.000000,-0.000000,30.816618,605.646786
29.890347,0.000000,0.401912,0.000000,-0.000000,31.133446,608.231872
30.194425,0.000000,0.401912,0.000000,-0.000000,31.471775,597.620069
30.498503,0.000000,0.401912,-0.000000,0.000000,31.811191,600.291691
30.802581,0.000000,0.401912,-0.000000,0.000000,32.210827,604.691203
31.106659,0.000000,0.401912,-0.000000,0.000000,32.613477,617.033692
31.410737,0.000000,0.401912,-0.000000,0.000000,32.894960,627.743087
31.714815,0.000000,0.401912,-0.000000,0.000000,33.195143,633.459405
32.018893,-0.000000,0.401912,-0.000000,0.000000,33.532796,633.469631
32.322972,-0.000000,0.401912,-0.000000,0.000000,33.863887,635.617235
32.627050,-0.000000,0.401912,-0.000000,0.000000,34.223322,636.624019
32.931128,-0.000000,0.401912,-0.000000,0.000000,34.590964,652.577915
33.235206,-0.000000,0.401912,-0.000000,0.000000,34.856728,655.570225
33.539284,-0.000000,0.401912,0.000000,-0.000000,35.185222,653.909248
33.843362,-0.000000,0.401912,0.000000,-0.000000,35.491444,665.461847
34.147440,-0.000000,0.401912,0.000000,-0.000000,35.839513,669.447408
34.451519,-0.000000,0.401912,0.000000,-0.000000,36.141289,672.467115
34.755597,-0.000000,0.401912,0.000000,-0.000000,36.395247,676.742156
35.059675,0.000000,0.401912,0.000000,-0.000000,36.745117,680.785566
35.363753,0.000000,0.401912,0.000000,-0.000000,37.014106,683.456690
35.667831,0.000000,0.401912,0.000000,-0.000000,37.355164,688.518148
35.971909,0.000000,0.401912,0.000000,-0.000000,37.660938,688.168878
36.275987,0.000000,0.401912,-0.000000,0.000000,37.977346,694.200071
