# coupling_ramp_v7 — ONE matched (mutual-interaction) three-population
#   community observed at FIVE increasing interaction-strength settings.
# 'level' is a neutral 0..4 index = how far the strength knob was turned up
#   (the strength magnitudes themselves are NOT in the file).
# columns: level, tau (the community's own clock — a lag for the two-point
#   columns, an elapsed time for the winding columns), C (normalized
#   turnover-plane autocorr), chi (integrated response), Cxy / Cyx (the two
#   directed cross-correlations), phiMean / phiVar (mean & variance of the
#   cumulative net turnover angle). Each level has its OWN settling window.
# All columns dimensionless (angle in radians). Five operating points.
# Generated by the community's own exact linear propagator + sim — not via conform.
level,tau,C,chi,Cxy,Cyx,phiMean,phiVar
0,7.213445,0.004198,1.066860,0.004139,0.004139,-0.133992,95.277459
0,7.309244,0.003924,1.067161,0.003872,0.003872,-0.070509,98.549563
0,7.405042,0.003668,1.067442,0.003622,0.003622,-0.079898,99.548628
0,7.500840,0.003429,1.067705,0.003389,0.003389,-0.094169,100.365488
0,7.596639,0.003206,1.067951,0.003170,0.003170,-0.113380,101.754908
0,7.692437,0.002997,1.068180,0.002965,0.002965,-0.128175,103.009756
0,7.788235,0.002802,1.068395,0.002774,0.002774,-0.168638,103.729098
0,7.884034,0.002619,1.068595,0.002594,0.002594,-0.151703,104.112724
0,7.979832,0.002449,1.068783,0.002427,0.002427,-0.180693,105.999932
0,8.075630,0.002289,1.068958,0.002270,0.002270,-0.186593,106.193529
0,8.171429,0.002140,1.069122,0.002123,0.002123,-0.209267,106.438482
0,8.267227,0.002001,1.069275,0.001986,0.001986,-0.170302,107.927579
0,8.363025,0.001871,1.069418,0.001858,0.001858,-0.124890,108.399456
0,8.458824,0.001749,1.069552,0.001737,0.001737,-0.133195,111.465760
0,8.554622,0.001635,1.069677,0.001625,0.001625,-0.150856,111.687329
0,8.650420,0.001529,1.069794,0.001520,0.001520,-0.148193,112.863868
0,8.746218,0.001430,1.069903,0.001422,0.001422,-0.139590,114.487183
0,8.842017,0.001337,1.070005,0.001330,0.001330,-0.160278,115.554435
0,8.937815,0.001250,1.070101,0.001244,0.001244,-0.137773,116.167190
0,9.033613,0.001169,1.070190,0.001163,0.001163,-0.128369,116.632552
0,9.129412,0.001093,1.070274,0.001088,0.001088,-0.121812,118.209462
0,9.225210,0.001022,1.070352,0.001017,0.001017,-0.130032,118.916978
0,9.321008,0.000955,1.070425,0.000951,0.000951,-0.097081,120.014888
0,9.416807,0.000893,1.070493,0.000890,0.000890,-0.109308,120.488446
0,9.512605,0.000835,1.070557,0.000832,0.000832,-0.107095,121.355478
0,9.608403,0.000781,1.070616,0.000778,0.000778,-0.102111,121.991905
0,9.704202,0.000730,1.070672,0.000728,0.000728,-0.102296,122.293146
0,9.800000,0.000683,1.070724,0.000681,0.000681,-0.196977,128.312585
0,9.895798,0.000638,1.070773,0.000637,0.000637,-0.224043,129.318015
0,9.991597,0.000597,1.070819,0.000595,0.000595,-0.194947,130.146159
0,10.087395,0.000558,1.070861,0.000557,0.000557,-0.189065,130.966896
0,10.183193,0.000522,1.070901,0.000521,0.000521,-0.197232,131.830256
0,10.278992,0.000488,1.070938,0.000487,0.000487,-0.209347,133.661745
0,10.374790,0.000456,1.070973,0.000455,0.000455,-0.280301,136.290490
0,10.470588,0.000427,1.071006,0.000426,0.000426,-0.327909,137.334279
0,10.566387,0.000399,1.071036,0.000398,0.000398,-0.287377,139.471500
0,10.662185,0.000373,1.071065,0.000373,0.000373,-0.275137,141.077218
0,10.757983,0.000349,1.071091,0.000348,0.000348,-0.285097,143.730802
0,10.853782,0.000326,1.071116,0.000326,0.000326,-0.290278,144.846235
0,10.949580,0.000305,1.071139,0.000305,0.000305,-0.364010,146.274595
0,11.045378,0.000285,1.071161,0.000285,0.000285,-0.351897,146.985567
0,11.141176,0.000267,1.071182,0.000266,0.000266,-0.351406,148.331513
